epoch,dice_coefficient,foreground_dice,intersection_over_union,learning_rate,loss,segmentation_precision,segmentation_recall,segmentation_specificity,val_dice_coefficient,val_foreground_dice,val_intersection_over_union,val_loss,val_segmentation_precision,val_segmentation_recall,val_segmentation_specificity
0,0.003677203319966793,0.02839461900293827,0.011871934868395329,9.999999747378752e-05,0.9954500198364258,0.011945953592658043,0.8840810060501099,0.8837791681289673,0.007522176019847393,0.04287950322031975,0.023060617968440056,0.9907004833221436,0.023125186562538147,0.7768609523773193,0.9702913761138916
1,0.009542735293507576,0.08873029798269272,0.042512137442827225,9.999999747378752e-05,0.9883978366851807,0.04385218769311905,0.825269877910614,0.9765346646308899,0.016041800379753113,0.1496497243642807,0.10353026539087296,0.9809017777442932,0.26024502515792847,0.38520535826683044,0.9816598296165466
2,0.03904722258448601,0.13531817495822906,0.07731051743030548,9.999999747378752e-05,0.9595001339912415,0.09248097985982895,0.7944005727767944,0.864393413066864,0.0016922620125114918,0.002360279904678464,0.0012019657297059894,0.9978893399238586,0.001202283543534577,0.9901358485221863,0.21204866468906403
3,0.09878339618444443,0.21827158331871033,0.1392364501953125,9.999999747378752e-05,0.9056622982025146,0.17819558084011078,0.7785658240318298,0.8216134309768677,0.1064000204205513,0.17021751403808594,0.13122805953025818,0.8966569304466248,0.17215664684772491,0.7638804316520691,0.6449077129364014
4,0.15115122497081757,0.29184600710868835,0.20017467439174652,9.999999747378752e-05,0.859968900680542,0.2625928223133087,0.748588502407074,0.8776394724845886,0.23098872601985931,0.3366784155368805,0.2600390613079071,0.7817565202713013,0.4064579904079437,0.5701374411582947,0.9505746960639954
