epoch,dice_coefficient,foreground_dice,intersection_over_union,learning_rate,loss,segmentation_precision,segmentation_recall,segmentation_specificity,val_dice_coefficient,val_foreground_dice,val_intersection_over_union,val_loss,val_segmentation_precision,val_segmentation_recall,val_segmentation_specificity
0,0.005705822259187698,0.03484564647078514,0.015514956787228584,9.999999747378752e-05,0.9929972290992737,0.01657938025891781,0.868291974067688,0.9046022295951843,0.013044994324445724,0.10157939791679382,0.06161537766456604,0.9840102195739746,0.0669684186577797,0.7101274728775024,0.9868653416633606
1,0.021036401391029358,0.13468928635120392,0.07322680205106735,9.999999747378752e-05,0.9751782417297363,0.07712986320257187,0.7789576053619385,0.991529643535614,0.05786239728331566,0.18396182358264923,0.11858567595481873,0.9334059953689575,0.12887230515480042,0.6078693270683289,0.9958630204200745
2,0.06645074486732483,0.26536837220191956,0.167925164103508,9.999999747378752e-05,0.9283584952354431,0.19325171411037445,0.7543066740036011,0.9958814382553101,0.10705949366092682,0.2997979521751404,0.2329036146402359,0.8889862895011902,0.548004150390625,0.3757372200489044,0.9996532201766968
3,0.15654784440994263,0.37587103247642517,0.25871673226356506,9.999999747378752e-05,0.8458821177482605,0.3155931532382965,0.7475558519363403,0.999034583568573,0.18897883594036102,0.30854707956314087,0.24753807485103607,0.8221507668495178,0.6273192167282104,0.37397441267967224,0.9972559809684753
4,0.25409260392189026,0.45115238428115845,0.34648287296295166,9.999999747378752e-05,0.7656434774398804,0.43347683548927307,0.7416397929191589,0.9994723796844482,0.3050357401371002,0.3779400587081909,0.3040931820869446,0.7271300554275513,0.660629153251648,0.4238894283771515,0.9997005462646484
