metric,point_estimate,ci_lower_95,ci_upper_95,n_bootstrap,n_patients
Mean per-slice Dice,0.4402410270694518,0.39189163994052734,0.49586455789638845,2000,74
Mean per-slice IoU,0.3474104600475027,0.3031794703202293,0.39838524879138065,2000,74
Mean per-slice precision,0.43381656553258374,0.38658242810820953,0.4844533476041923,2000,74
Mean per-slice recall,0.547019549895307,0.48959283410888466,0.6097338265991091,2000,74
Mean per-slice specificity,0.9997924203074318,0.9997600900039628,0.9998229652887038,2000,74
Slice detection rate,0.7197898423817863,0.6635867953426394,0.7740127508835712,2000,74
