epoch,dice_coefficient,intersection_over_union,learning_rate,loss,segmentation_precision,segmentation_recall,segmentation_specificity,thresholded_dice,val_dice_coefficient,val_intersection_over_union,val_loss,val_segmentation_precision,val_segmentation_recall,val_segmentation_specificity,val_thresholded_dice
0,0.0005085025331936777,0.06166478618979454,9.999999747378752e-05,0.7350685596466064,0.11322856694459915,0.5702447295188904,0.8969491720199585,0.0617666020989418,7.254130468936637e-05,0.7881489992141724,0.6756744384765625,0.8477426767349243,0.9282731413841248,0.9999598860740662,0.7881489992141724
1,0.0004900850472040474,0.41468751430511475,9.999999747378752e-05,0.6432056427001953,0.8081250190734863,0.5,0.999938428401947,0.41468751430511475,6.123620551079512e-05,0.026868542656302452,0.6278274655342102,0.028845038264989853,0.9283403754234314,0.9971252083778381,0.02687467262148857
2,0.0005126704345457256,0.43968749046325684,9.999999747378752e-05,0.611288845539093,0.8881250023841858,0.5,0.9999845027923584,0.43968749046325684,7.39685128792189e-05,0.8832957148551941,0.5970804691314697,0.9494356513023376,0.9282731413841248,0.9999998807907104,0.8832957148551941
3,0.0005077684763818979,0.4987500011920929,9.999999747378752e-05,0.5866363644599915,0.9984375238418579,0.5,1.0,0.4987500011920929,7.365114288404584e-05,0.9282731413841248,0.5756625533103943,1.0,0.9282731413841248,1.0,0.9282731413841248
4,0.000530417135450989,0.5,9.999999747378752e-05,0.567353367805481,1.0,0.5,1.0,0.5,7.357315917033702e-05,0.9282731413841248,0.5584825277328491,1.0,0.9282731413841248,1.0,0.9282731413841248
5,0.0005249686073511839,0.5,9.999999747378752e-05,0.5523687601089478,1.0,0.5,1.0,0.5,7.342100434470922e-05,0.9282731413841248,0.5457457900047302,1.0,0.9282731413841248,1.0,0.9282731413841248
6,0.0005243298364803195,0.5,9.999999747378752e-05,0.5408422946929932,1.0,0.5,1.0,0.5,7.63479110901244e-05,0.9282731413841248,0.535815954208374,1.0,0.9282731413841248,1.0,0.9282731413841248
7,0.000551624340005219,0.5,4.999999873689376e-05,0.5338488221168518,1.0,0.5,1.0,0.5,7.835036376491189e-05,0.9282731413841248,0.5314860939979553,1.0,0.9282731413841248,1.0,0.9282731413841248
8,0.0005709311226382852,0.5,4.999999873689376e-05,0.5297744870185852,1.0,0.5,1.0,0.5,8.336153405252844e-05,0.9282731413841248,0.5276510119438171,1.0,0.9282731413841248,1.0,0.9282731413841248
9,0.000634162628557533,0.5,4.999999873689376e-05,0.5260560512542725,1.0,0.5,1.0,0.5,0.00010312262020306662,0.9282731413841248,0.5241633057594299,1.0,0.9282731413841248,1.0,0.9282731413841248
10,0.0013814574340358377,0.4935934841632843,2.499999936844688e-05,0.5232899188995361,0.9824444055557251,0.5018908977508545,0.9999961256980896,0.4945868253707886,0.0001931296574184671,0.927668571472168,0.521861732006073,0.9992099404335022,0.9282893538475037,1.0,0.9276828169822693
